time,action,confidence,net_pips,cumulative_net_pips
2026-05-20 17:16:00+00:00,Sell,0.6710260202463859,-2.4,-2.4
2026-05-21 10:15:00+00:00,Buy,0.6700157903002039,-10.500000000000002,-12.900000000000002
2026-05-21 10:19:00+00:00,Buy,0.6689223061830019,0.7000000000000001,-12.200000000000003
2026-05-21 13:26:00+00:00,Buy,0.7085426328473025,-3.2999999999989997,-15.499999999999002
2026-05-22 17:00:00+00:00,Buy,0.6955387223242323,-2.6999999999999997,-18.199999999999
2026-05-26 16:53:00+00:00,Buy,0.6553514699130369,5.400000000001,-12.799999999998
2026-05-27 17:57:00+00:00,Buy,0.6915800347644615,2.8000000000000003,-9.999999999998
2026-05-29 17:55:00+00:00,Sell,0.6560400394766284,4.999999999998,-5.0
2026-06-01 16:11:00+00:00,Buy,0.678332947118151,-0.0999999999996,-5.0999999999996
2026-06-01 16:12:00+00:00,Buy,0.7212320667957003,7.199999999998,2.0999999999984
2026-06-05 15:30:00+00:00,Buy,0.9308013611462146,-2.0,0.09999999999840004
2026-06-05 15:31:00+00:00,Buy,0.7603276449371403,-12.6,-12.500000000001599
2026-06-05 15:32:00+00:00,Buy,0.8659788851651725,-5.900000000001,-18.4000000000026
2026-06-05 15:33:00+00:00,Buy,0.7514577469771799,-8.099999999999,-26.5000000000016
2026-06-05 15:34:00+00:00,Buy,0.7631125383961245,-4.999999999999,-31.500000000000597
2026-06-05 15:35:00+00:00,Buy,0.7117637412200044,-2.1999999999989996,-33.6999999999996
2026-06-05 15:36:00+00:00,Buy,0.837503613599816,1.699999999999,-32.0000000000006
2026-06-05 15:37:00+00:00,Buy,0.7688730965050216,3.8,-28.200000000000596
2026-06-05 15:38:00+00:00,Buy,0.7195310112080174,3.299999999999,-24.900000000001597
2026-06-05 15:39:00+00:00,Buy,0.6930478616165175,-3.7,-28.600000000001597
2026-06-05 15:41:00+00:00,Buy,0.7056346902897161,-4.099999999999,-32.7000000000006
2026-06-05 15:44:00+00:00,Buy,0.7067311558072127,-2.6,-35.3000000000006
2026-06-05 15:45:00+00:00,Buy,0.6945149997135851,-4.6000000000000005,-39.9000000000006
2026-06-05 15:46:00+00:00,Buy,0.6542058412505832,-6.499999999999,-46.3999999999996
2026-06-05 15:47:00+00:00,Buy,0.680311110625561,-4.399999999998,-50.7999999999976
2026-06-05 15:59:00+00:00,Buy,0.6668124837468916,4.7,-46.0999999999976
2026-06-05 16:02:00+00:00,Buy,0.7305592494408342,-2.6000000000009997,-48.699999999998596
2026-06-08 04:30:00+00:00,Buy,0.663130587551442,7.5,-41.199999999998596
2026-06-09 19:38:00+00:00,Buy,0.7190260355760039,0.8,-40.3999999999986
2026-06-10 14:03:00+00:00,Buy,0.7294087956123839,3.399999999999,-36.9999999999996
2026-06-10 14:04:00+00:00,Buy,0.7660480647617536,5.499999999998,-31.500000000001602
2026-06-10 18:48:00+00:00,Buy,0.6532332227151657,6.099999999999,-25.400000000002603
2026-06-11 15:22:00+00:00,Buy,0.79404286715557,-0.599999999999745,-26.00000000000235
2026-06-11 15:23:00+00:00,Buy,0.6704540054536573,2.999999999999,-23.000000000003347
2026-06-11 15:32:00+00:00,Buy,0.6577108971360496,2.899999999998,-20.100000000005345
2026-06-11 20:28:00+00:00,Sell,0.6550358287575163,-33.100000000000996,-53.20000000000634
2026-06-11 20:31:00+00:00,Sell,0.6848031358992616,-25.699999999999,-78.90000000000535
2026-06-11 20:32:00+00:00,Sell,0.8181767077149406,-12.6,-91.50000000000534
2026-06-11 20:33:00+00:00,Sell,0.718646813944629,-12.699999999999,-104.20000000000434
2026-06-11 20:34:00+00:00,Sell,0.818156223247527,-1.29999999999989,-105.50000000000422
2026-06-11 20:35:00+00:00,Sell,0.6927101806449184,-4.1000000000000005,-109.60000000000421
2026-06-11 20:36:00+00:00,Sell,0.723807993704117,-2.3000000000019996,-111.90000000000622
2026-06-11 20:38:00+00:00,Sell,0.6628832401370999,-2.899999999999,-114.80000000000521
2026-06-11 20:50:00+00:00,Buy,0.6727131915480833,4.899999999999,-109.90000000000622
2026-06-12 16:40:00+00:00,Buy,0.7545201323885092,1.1,-108.80000000000622
2026-06-17 17:47:00+00:00,Buy,0.691217062405166,6.799999999999,-102.00000000000722
2026-06-17 21:00:00+00:00,Buy,0.9914730403875863,0.4000000000001449,-101.60000000000707
2026-06-17 21:01:00+00:00,Buy,0.8232767447803083,-14.0,-115.60000000000707
2026-06-17 21:02:00+00:00,Buy,0.9003818012379508,-8.8,-124.40000000000707
2026-06-17 21:03:00+00:00,Buy,0.844588571208382,-16.399999999998002,-140.80000000000507
2026-06-17 21:04:00+00:00,Buy,0.9002736392016374,-8.8,-149.60000000000508
2026-06-17 21:05:00+00:00,Buy,0.8560713510606756,-5.8,-155.4000000000051
2026-06-17 21:06:00+00:00,Buy,0.8137987486867955,-6.0999999999979995,-161.5000000000031
2026-06-17 21:07:00+00:00,Buy,0.8247701805195228,-2.6999999999999997,-164.2000000000031
2026-06-17 21:08:00+00:00,Buy,0.8475682362264048,-1.7,-165.90000000000308
2026-06-17 21:09:00+00:00,Buy,0.8029259831019739,-1.1999999999992348,-167.1000000000023
2026-06-17 21:10:00+00:00,Buy,0.7935436170014749,3.999999999999001,-163.1000000000033
2026-06-17 21:11:00+00:00,Buy,0.7523297771708055,1.099999999998,-162.0000000000053
2026-06-17 21:12:00+00:00,Buy,0.7281073966805258,1.1999999999999995,-160.8000000000053
2026-06-17 21:13:00+00:00,Buy,0.7470646578186874,5.899999999998,-154.9000000000073
2026-06-17 21:14:00+00:00,Buy,0.7146042817339321,6.299999999998,-148.60000000000932
2026-06-17 21:15:00+00:00,Buy,0.7102050825270874,3.8,-144.8000000000093
2026-06-17 21:16:00+00:00,Buy,0.7127648068838592,7.6,-137.2000000000093
2026-06-17 21:17:00+00:00,Buy,0.68678328023157,3.399999999999,-133.8000000000103
2026-06-17 21:32:00+00:00,Buy,0.6572324999618171,-5.899999999998,-139.7000000000083
2026-06-17 21:33:00+00:00,Buy,0.7140532831456137,11.400000000001,-128.3000000000073
2026-06-17 21:34:00+00:00,Buy,0.6798824582340212,16.200000000000998,-112.10000000000629
2026-06-17 22:02:00+00:00,Buy,0.740640552078002,-10.500000000000002,-122.60000000000629
2026-06-17 22:04:00+00:00,Buy,0.730896582606114,-5.499999999999999,-128.10000000000628
2026-06-22 16:00:00+00:00,Buy,0.7915316671603975,1.499999999998,-126.60000000000828
2026-06-22 16:01:00+00:00,Buy,0.7276231704936182,1.1999999999999995,-125.40000000000828
2026-06-30 00:02:00+00:00,Buy,0.732936649682909,18.199999999998997,-107.20000000000928
